,team,goalkeeper_score,defense_score,offense_score,midfield_score,rank
0,Argentina,84.0,82.2,89.0,84.0,4
1,Australia,77.0,72.0,72.3,73.5,42
2,Belgium,89.0,80.8,85.7,85.5,2
3,Brazil,89.0,84.8,86.3,85.5,1
4,Cameroon,67.0,76.8,77.7,75.0,37
5,Canada,76.0,69.2,73.0,78.0,38
6,Costa Rica,88.0,71.5,70.3,69.2,31
7,Croatia,82.0,77.8,76.7,84.2,16
8,Denmark,85.0,80.2,77.7,80.2,11
9,Ecuador,71.0,73.5,76.0,74.5,46
10,England,83.0,85.0,88.0,84.0,5
11,France,87.0,84.2,88.3,86.8,3
12,Germany,90.0,84.0,82.7,87.8,12
13,Ghana,74.0,75.5,76.0,78.2,60
14,IR Iran,73.0,69.0,75.3,69.0,21
15,Japan,73.0,75.2,75.0,77.5,23
16,Korea Republic,75.0,73.0,80.0,73.8,29
17,Mexico,80.0,76.8,82.7,78.2,9
18,Morocco,82.0,81.2,81.7,76.2,24
19,Netherlands,81.0,85.2,83.0,83.5,10
20,Poland,87.0,75.2,84.7,75.8,26
21,Portugal,82.0,85.2,86.0,84.5,8
22,Qatar,68.0,68.0,73.3,71.5,52
23,Saudi Arabia,70.0,72.8,67.7,72.8,49
24,Senegal,83.0,79.0,80.7,79.0,20
25,Serbia,80.0,75.8,80.3,81.8,25
26,Spain,84.0,86.5,85.0,86.0,7
27,Switzerland,85.0,78.5,76.7,79.5,14
28,Tunisia,58.0,70.8,68.3,74.5,35
29,USA,77.0,75.8,77.7,75.8,15
30,Uruguay,80.0,81.2,84.3,80.0,13
31,Wales,74.0,75.0,73.0,78.5,18
